Number of Records,Year_Coal,Value_Coal,Countries
1,01/01/1966,0.02,Malaysia
1,01/01/1966,1.6,New Zealand
1,01/01/1966,1.164,Pakistan
1,01/01/1966,0.041994,Philippines
1,01/01/1966,0.005,Singapore
1,01/01/1966,5.607,South Korea
1,01/01/1966,0,Sri Lanka
1,01/01/1966,2.969,Taiwan
1,01/01/1966,0.065,Thailand
1,01/01/1966,0.942763158,Vietnam
1,01/01/1967,15.032,Canada
1,01/01/1967,0.90278972,Mexico
1,01/01/1967,285.210377399,US
1,01/01/1967,0.674152794,Argentina
1,01/01/1967,1.943,Brazil
1,01/01/1967,1.2,Chile
1,01/01/1967,2.21,Colombia
1,01/01/1967,0,Ecuador
1,01/01/1967,0.051261737,Peru
1,01/01/1967,0,Trinidad & Tobago
1,01/01/1967,0.022,Venezuela
1,01/01/1967,4.595950289,Austria
1,01/01/1967,17.16227434,Belgium
1,01/01/1967,6.714,Bulgaria
1,01/01/1967,0,Croatia
1,01/01/1967,0,Cyprus
1,01/01/1967,34.062,Czech Republic
1,01/01/1967,3.5884,Denmark
1,01/01/1967,0,Estonia
1,01/01/1967,1.555623,Finland
1,01/01/1967,37.836851786,France
1,01/01/1967,144.566159334,Germany
1,01/01/1967,2.01,Greece
1,01/01/1967,9.077,Hungary
1,01/01/1967,0.003699178,Iceland
1,01/01/1967,3.792,Ireland
1,01/01/1967,9.832,Italy
1,01/01/1967,0,Latvia
1,01/01/1967,,Lithuania
1,01/01/1967,2.3073,Luxembourg
1,01/01/1967,7.76249164,Netherlands
1,01/01/1967,0,North Macedonia
1,01/01/1967,0.737851,Norway
1,01/01/1967,61.369,Poland
1,01/01/1967,0.601,Portugal
1,01/01/1967,5.202939135,Romania
1,01/01/1967,5.896224401,Slovakia
1,01/01/1967,0,Slovenia
1,01/01/1967,9.12,Spain
1,01/01/1967,2.111503,Sweden
1,01/01/1967,0.889462119,Switzerland
1,01/01/1967,3.62,Turkey
1,01/01/1967,0,Ukraine
1,01/01/1967,104.371,United Kingdom
1,01/01/1967,,Azerbaijan
1,01/01/1967,,Belarus
1,01/01/1967,,Kazakhstan
1,01/01/1967,,Russian Federation
1,01/01/1967,,Turkmenistan
1,01/01/1967,313.045594965,USSR
1,01/01/1967,,Uzbekistan
1,01/01/1967,0.256,Iran
1,01/01/1967,0,Iraq
1,01/01/1967,0,Israel
1,01/01/1967,0,Kuwait
1,01/01/1967,0,Oman
1,01/01/1967,0,Qatar
1,01/01/1967,0,Saudi Arabia
1,01/01/1967,0,United Arab Emirates
1,01/01/1967,0.052,Algeria
1,01/01/1967,0.422,Egypt
1,01/01/1967,0.255,Morocco
1,01/01/1967,25.048,South Africa
1,01/01/1967,2.844128175,Eastern Africa
1,01/01/1967,18.50816853,Australia
1,01/01/1967,0,Bangladesh
1,01/01/1967,108.8,China
1,01/01/1967,0.085,China Hong Kong SAR
1,01/01/1967,36.052042253,India
1,01/01/1967,0.111,Indonesia
1,01/01/1967,57.02448,Japan
1,01/01/1967,0.012,Malaysia
1,01/01/1967,1.461,New Zealand
1,01/01/1967,1.118,Pakistan
1,01/01/1967,0.032662,Philippines
1,01/01/1967,0.003,Singapore
1,01/01/1967,5.349,South Korea
1,01/01/1967,0,Sri Lanka
1,01/01/1967,3.013,Taiwan
1,01/01/1967,0.116,Thailand
1,01/01/1967,1.033268868,Vietnam
1,01/01/1968,16.331,Canada
1,01/01/1968,0.946379096,Mexico
1,01/01/1968,295.191441885,US
1,01/01/1968,0.655119112,Argentina
1,01/01/1968,1.912,Brazil
1,01/01/1968,1.2,Chile
1,01/01/1968,2.013,Colombia
1,01/01/1968,0,Ecuador
1,01/01/1968,0.050851643,Peru
1,01/01/1968,0,Trinidad & Tobago
1,01/01/1968,0.023,Venezuela
1,01/01/1968,4.537720096,Austria
1,01/01/1968,17.71833003,Belgium
1,01/01/1968,7.294,Bulgaria
1,01/01/1968,0,Croatia
1,01/01/1968,0,Cyprus
1,01/01/1968,35.259,Czech Republic
1,01/01/1968,3.2152,Denmark
1,01/01/1968,0,Estonia
1,01/01/1968,1.873484,Finland
1,01/01/1968,36.385283726,France
1,01/01/1968,146.641361036,Germany
1,01/01/1968,2.27,Greece
1,01/01/1968,8.959,Hungary
1,01/01/1968,0.00292151,Iceland
1,01/01/1968,4.631,Ireland
1,01/01/1968,9.522,Italy
