,countries,1965,1966,1967,1968,1969,1970,1971,1972,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
10,Trinidad & Tobago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Venezuela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Belgium,0.0,0.00135765,0.021269856,0.013802779,0.004978051,0.012897678000000001,0.0,0.002489026,0.033488709,1.535050007,2.270896502,2.7014979410000004,2.831379825,2.581119609,2.839525727,2.9096709960000005,3.544372539,5.454586595,6.277548989,7.82934335,8.913879712,9.496085441,9.752907635,9.326379146,9.666923112000001,9.698375345,9.833009006000001,9.487034439,9.192198036,9.35783138,9.805855999,10.727248043,10.445988143,11.091324614000001,10.896728063,10.487622754,10.71638684,10.720686066,10.705525637000001,10.769561479000002,10.554600172,10.912567317,10.310901932,10.685160882,10.848531475,10.914151242,9.117753541,9.649273657,7.626148346,5.90645789,9.848169435,9.554871702,6.443511445
18,Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.578,1.129,1.3319999999999999,1.338,1.3980000000000001,1.396,2.064,2.432,2.7880000000000003,2.8819999999999997,2.972,2.7319999999999998,2.8139999999999996,3.628,3.2960000000000003,3.3183237539999997,2.983210391,2.613929493,3.161741413,3.469928045,3.90573381,4.091505634,4.016608589,3.823822238,3.578313798,4.11322804,4.4243562469999995,4.575734263,3.910033036,3.804815133,4.220708693,4.410779744,3.313345703,3.56722632,3.452052315,3.4504683889999996,3.6914513280000003,3.571751822,3.206594108,3.5902274060000003,3.479906775,3.5696798210000003,3.517558718,3.654016768
19,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.542,1.391,2.4219999999999997,2.675,2.81,2.8480000000000003,2.7460000000000004,2.773,2.858,2.937,2.7680000000000002,2.908,2.827,2.9819999999999998,3.023,3.076,3.337398742,4.239987329,5.854165724,5.956623071,5.5952391729999995,5.893673349,5.9220934970000005,6.007829117000001,6.1564465760000004,6.333031632999999,6.399647011,6.861610173,6.956894601,6.861768566,6.0734036289999995,5.4541793,6.412544689,6.770443952000001
22,Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Estonia,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5978425270000001,0.7333693790000001,1.51485198,1.577970813,3.2952794260000005,3.769504315,3.981726503,4.239441887,4.28255324,4.286840557,4.414507328,4.393785296,4.289698768,4.3178045130000005,4.384257925,4.327808252,4.477864345,4.365441367,4.3178045130000005,4.449044047,4.775832871,4.996153324,5.254345077,5.138825703999999,5.205255298,5.095904898,5.199538875,5.195727927,5.324919077,5.240911484,5.359431978,5.251891779,5.383155132000001,5.2136155660000005,5.303291945,5.255011993,5.4004711279999995,5.393921061,5.317702093,5.306769435,5.13858752,5.2136155660000005
25,France,0.239,0.363,0.6609999999999999,0.8009999999999999,1.122,1.292256867,2.1109200340000003,3.3015794,3.328506132,4.1290672939999995,3.570167896,4.059600851,6.890528126,9.041951396,13.859573698,23.832646966,24.645653256,32.642666425,43.271484817,50.708240938,57.508937865,60.080553921,62.343530796,68.77200525,71.068697108,74.973978368,76.581662669,83.311761778,81.45472236100001,85.357967145,89.908132326,89.487939539,87.792460515,89.20758474,93.940806444,95.27899714899999,98.827895189,99.80314069799999,101.42575915299999,102.16975155,101.86699552,99.49993211700001,99.43589627600001,92.713037969,96.96361497,100.101371227,96.258768159,95.86934878,98.76431189799999,98.97904692899999,91.232972802,90.13800818200001,93.49054291
26,Germany,0.031,0.077,0.342,0.45399999999999996,1.206,1.469,1.4069999999999998,2.155,3.272,5.462999999999999,6.706,9.337,9.929,11.783,12.581,14.831,16.844,17.666,23.609,31.375999999999998,29.531,32.074,35.491,36.59,34.506946644,33.352943839,35.932479522,34.733221704,34.212789066,34.86898674,36.568991266,38.540978413000005,36.56604969,38.467665294,38.37760782,38.762049147,37.299633434,37.348961397,37.802642893000005,36.891659501,37.868488935,31.799339276999998,33.664524596,30.531746391,31.804317328000003,24.431195864,22.505317464,22.014300584,21.977870299,20.768953025,19.150563425,17.270308187,17.219532063
27,Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
