Year_Solar_Cons,Values_Solar_Cons,Countries
01/01/1967,0,Norway
01/01/1967,0,Poland
01/01/1967,0,Portugal
01/01/1967,0,Romania
01/01/1967,0,Slovakia
01/01/1967,,Slovenia
01/01/1967,0,Spain
01/01/1967,0,Sweden
01/01/1967,0,Switzerland
01/01/1967,0,Turkey
01/01/1967,0,Ukraine
01/01/1967,0,United Kingdom
01/01/1967,,Azerbaijan
01/01/1967,,Belarus
01/01/1967,,Kazakhstan
01/01/1967,,Russian Federation
01/01/1967,,Turkmenistan
01/01/1967,0,USSR
01/01/1967,,Uzbekistan
01/01/1967,0,Iran
01/01/1967,0,Iraq
01/01/1967,0,Israel
01/01/1967,0,Kuwait
01/01/1967,0,Oman
01/01/1967,0,Qatar
01/01/1967,0,Saudi Arabia
01/01/1967,0,United Arab Emirates
01/01/1967,0,Algeria
01/01/1967,0,Egypt
01/01/1967,0,Morocco
01/01/1967,0,South Africa
01/01/1967,0,Eastern Africa
01/01/1967,0,Australia
01/01/1967,0,Bangladesh
01/01/1967,0,China
01/01/1967,0,China Hong Kong SAR
01/01/1967,0,India
01/01/1967,0,Indonesia
01/01/1967,0,Japan
01/01/1967,0,Malaysia
01/01/1967,0,New Zealand
01/01/1967,0,Pakistan
01/01/1967,0,Philippines
01/01/1967,0,Singapore
01/01/1967,0,South Korea
01/01/1967,0,Sri Lanka
01/01/1967,0,Taiwan
01/01/1967,0,Thailand
01/01/1967,0,Vietnam
01/01/1968,0,Canada
01/01/1968,0,Mexico
01/01/1968,0,US
01/01/1968,0,Argentina
01/01/1968,0,Brazil
01/01/1968,0,Chile
01/01/1968,0,Colombia
01/01/1968,0,Ecuador
01/01/1968,0,Peru
01/01/1968,0,Trinidad & Tobago
01/01/1968,0,Venezuela
01/01/1968,0,Austria
01/01/1968,0,Belgium
01/01/1968,0,Bulgaria
01/01/1968,,Croatia
01/01/1968,0,Cyprus
01/01/1968,0,Czech Republic
01/01/1968,0,Denmark
01/01/1968,,Estonia
01/01/1968,0,Finland
01/01/1968,0,France
01/01/1968,0,Germany
01/01/1968,0,Greece
01/01/1968,0,Hungary
01/01/1968,0,Iceland
01/01/1968,0,Ireland
01/01/1968,0,Italy
01/01/1968,,Latvia
01/01/1968,,Lithuania
01/01/1968,0,Luxembourg
01/01/1968,0,Netherlands
01/01/1968,,North Macedonia
01/01/1968,0,Norway
01/01/1968,0,Poland
01/01/1968,0,Portugal
01/01/1968,0,Romania
01/01/1968,0,Slovakia
01/01/1968,,Slovenia
01/01/1968,0,Spain
01/01/1968,0,Sweden
01/01/1968,0,Switzerland
01/01/1968,0,Turkey
01/01/1968,0,Ukraine
01/01/1968,0,United Kingdom
01/01/1968,,Azerbaijan
01/01/1968,,Belarus
01/01/1968,,Kazakhstan
01/01/1968,,Russian Federation
01/01/1968,,Turkmenistan
01/01/1968,0,USSR
01/01/1968,,Uzbekistan
01/01/1968,0,Iran
01/01/1968,0,Iraq
01/01/1968,0,Israel
01/01/1968,0,Kuwait
01/01/1968,0,Oman
01/01/1968,0,Qatar
01/01/1968,0,Saudi Arabia
01/01/1968,0,United Arab Emirates
01/01/1968,0,Algeria
01/01/1968,0,Egypt
01/01/1968,0,Morocco
01/01/1968,0,South Africa
01/01/1968,0,Eastern Africa
01/01/1968,0,Australia
01/01/1968,0,Bangladesh
01/01/1968,0,China
