Number of Records,Year_Hydro,Value_Hydro,Countries
1,01/01/1975,9.282029235,Italy
1,01/01/1975,,Latvia
1,01/01/1975,,Lithuania
1,01/01/1975,0.014650179,Luxembourg
1,01/01/1975,0,Netherlands
1,01/01/1975,,North Macedonia
1,01/01/1975,17.521,Norway
1,01/01/1975,0.449726207,Poland
1,01/01/1975,1.450423134,Portugal
1,01/01/1975,1.971,Romania
1,01/01/1975,0.45300267,Slovakia
1,01/01/1975,,Slovenia
1,01/01/1975,5.896336652,Spain
1,01/01/1975,13.053,Sweden
1,01/01/1975,7.294155225,Switzerland
1,01/01/1975,1.335837444,Turkey
1,01/01/1975,0,Ukraine
1,01/01/1975,0.86844368,United Kingdom
1,01/01/1975,,Azerbaijan
1,01/01/1975,,Belarus
1,01/01/1975,,Kazakhstan
1,01/01/1975,,Russian Federation
1,01/01/1975,,Turkmenistan
1,01/01/1975,29.353,USSR
1,01/01/1975,,Uzbekistan
1,01/01/1975,0.776,Iran
1,01/01/1975,0.105,Iraq
1,01/01/1975,0,Israel
1,01/01/1975,0,Kuwait
1,01/01/1975,0,Oman
1,01/01/1975,0,Qatar
1,01/01/1975,0,Saudi Arabia
1,01/01/1975,0,United Arab Emirates
1,01/01/1975,0.074,Algeria
1,01/01/1975,1.537,Egypt
1,01/01/1975,0.229895461,Morocco
1,01/01/1975,0.251,South Africa
1,01/01/1975,3.524901127,Eastern Africa
1,01/01/1975,3.3687382,Australia
1,01/01/1975,0.098655926,Bangladesh
1,01/01/1975,9.868,China
1,01/01/1975,0,China Hong Kong SAR
1,01/01/1975,8.976,India
1,01/01/1975,0.409,Indonesia
1,01/01/1975,18.25531235,Japan
1,01/01/1975,0.293,Malaysia
1,01/01/1975,3.770565317,New Zealand
1,01/01/1975,1.108,Pakistan
1,01/01/1975,0.503,Philippines
1,01/01/1975,0,Singapore
1,01/01/1975,0.380777707,South Korea
1,01/01/1975,0.24360773,Sri Lanka
1,01/01/1975,1.189,Taiwan
1,01/01/1975,0.672,Thailand
1,01/01/1975,0.11313753,Vietnam
1,01/01/1976,45.896,Canada
1,01/01/1976,3.903,Mexico
1,01/01/1976,65.579595109,US
1,01/01/1976,1.118,Argentina
1,01/01/1976,18.761144047,Brazil
1,01/01/1976,1.411,Chile
1,01/01/1976,2.313983799,Colombia
1,01/01/1976,0.143,Ecuador
1,01/01/1976,1.313,Peru
1,01/01/1976,0,Trinidad & Tobago
1,01/01/1976,2.395,Venezuela
1,01/01/1976,4.653482373,Austria
1,01/01/1976,0.024663982,Belgium
1,01/01/1976,0.668,Bulgaria
1,01/01/1976,,Croatia
1,01/01/1976,0,Cyprus
1,01/01/1976,0.326,Czech Republic
1,01/01/1976,0.004299226,Denmark
1,01/01/1976,,Estonia
1,01/01/1976,2.145498978,Finland
1,01/01/1976,10.988964158,France
1,01/01/1976,3.133192967,Germany
1,01/01/1976,0.47,Greece
1,01/01/1976,0.037,Hungary
1,01/01/1976,0.531633253,Iceland
1,01/01/1976,0.134210526,Ireland
1,01/01/1976,8.864551749,Italy
1,01/01/1976,,Latvia
1,01/01/1976,,Lithuania
1,01/01/1976,0.009230665,Luxembourg
1,01/01/1976,0,Netherlands
1,01/01/1976,,North Macedonia
1,01/01/1976,18.566,Norway
1,01/01/1976,0.371181608,Poland
1,01/01/1976,1.083178712,Portugal
1,01/01/1976,1.834,Romania
1,01/01/1976,0.456849346,Slovakia
1,01/01/1976,,Slovenia
1,01/01/1976,4.697390505,Spain
1,01/01/1976,12.416,Sweden
1,01/01/1976,5.849075169,Switzerland
1,01/01/1976,1.895008372,Turkey
1,01/01/1976,0,Ukraine
1,01/01/1976,1.026383672,United Kingdom
1,01/01/1976,,Azerbaijan
1,01/01/1976,,Belarus
1,01/01/1976,,Kazakhstan
1,01/01/1976,,Russian Federation
1,01/01/1976,,Turkmenistan
1,01/01/1976,31.611,USSR
1,01/01/1976,,Uzbekistan
1,01/01/1976,0.868,Iran
1,01/01/1976,0.105,Iraq
1,01/01/1976,0,Israel
1,01/01/1976,0,Kuwait
1,01/01/1976,0,Oman
1,01/01/1976,0,Qatar
1,01/01/1976,0,Saudi Arabia
1,01/01/1976,0,United Arab Emirates
1,01/01/1976,0.087,Algeria
1,01/01/1976,1.811,Egypt
1,01/01/1976,0.22582251,Morocco
1,01/01/1976,0.424,South Africa
1,01/01/1976,3.872722609,Eastern Africa
1,01/01/1976,3.202665249,Australia
1,01/01/1976,0.11177988,Bangladesh
1,01/01/1976,10,China
1,01/01/1976,0,China Hong Kong SAR
1,01/01/1976,9.39,India
1,01/01/1976,0.24,Indonesia
1,01/01/1976,18.897879712,Japan
1,01/01/1976,0.268,Malaysia
1,01/01/1976,3.507034869,New Zealand
1,01/01/1976,1.203,Pakistan
1,01/01/1976,0.596,Philippines
1,01/01/1976,0,Singapore
1,01/01/1976,0.404729375,South Korea
1,01/01/1976,0.251052179,Sri Lanka
1,01/01/1976,0.968,Taiwan
1,01/01/1976,0.718,Thailand
1,01/01/1976,0.126035208,Vietnam
1,01/01/1977,44.93,Canada
1,01/01/1977,4.345,Mexico
1,01/01/1977,51.105864958,US
1,01/01/1977,1.291,Argentina
1,01/01/1977,21.152192605,Brazil
1,01/01/1977,1.471,Chile
1,01/01/1977,2.364984387,Colombia
1,01/01/1977,0.215,Ecuador
1,01/01/1977,1.363,Peru
1,01/01/1977,0,Trinidad & Tobago
1,01/01/1977,2.753,Venezuela
1,01/01/1977,5.638955514,Austria
1,01/01/1977,0.050685613,Belgium
1,01/01/1977,0.797,Bulgaria
1,01/01/1977,,Croatia
1,01/01/1977,0,Cyprus
1,01/01/1977,0.445,Czech Republic
1,01/01/1977,0.005883152,Denmark
1,01/01/1977,,Estonia
1,01/01/1977,2.75644164,Finland
1,01/01/1977,17.269986107,France
1,01/01/1977,3.978404399,Germany
1,01/01/1977,0.482,Greece
1,01/01/1977,0.034,Hungary
1,01/01/1977,0.570145269,Iceland
1,01/01/1977,0.168421053,Ireland
1,01/01/1977,11.571480291,Italy
1,01/01/1977,,Latvia
1,01/01/1977,,Lithuania
1,01/01/1977,0.017790877,Luxembourg
1,01/01/1977,0,Netherlands
1,01/01/1977,,North Macedonia
1,01/01/1977,16.339,Norway
1,01/01/1977,0.443223062,Poland
1,01/01/1977,2.255057248,Portugal
1,01/01/1977,2.113,Romania
1,01/01/1977,0.544870344,Slovakia
1,01/01/1977,,Slovenia
1,01/01/1977,8.967929583,Spain
1,01/01/1977,12.113,Sweden
1,01/01/1977,7.894710096,Switzerland
1,01/01/1977,1.939697697,Turkey
1,01/01/1977,0,Ukraine
1,01/01/1977,0.894691587,United Kingdom
1,01/01/1977,,Azerbaijan
1,01/01/1977,,Belarus
1,01/01/1977,,Kazakhstan
1,01/01/1977,,Russian Federation
1,01/01/1977,,Turkmenistan
1,01/01/1977,34.23,USSR
1,01/01/1977,,Uzbekistan
1,01/01/1977,0.897,Iran
1,01/01/1977,0.129,Iraq
1,01/01/1977,0,Israel
1,01/01/1977,0,Kuwait
1,01/01/1977,0,Oman
1,01/01/1977,0,Qatar
1,01/01/1977,0,Saudi Arabia
1,01/01/1977,0,United Arab Emirates
1,01/01/1977,0.061,Algeria
1,01/01/1977,2.045,Egypt
1,01/01/1977,0.308865457,Morocco
1,01/01/1977,0.44,South Africa
1,01/01/1977,4.392179351,Eastern Africa
1,01/01/1977,3.064658144,Australia
1,01/01/1977,0.098882201,Bangladesh
1,01/01/1977,10.439,China
1,01/01/1977,0,China Hong Kong SAR
1,01/01/1977,10.245,India
1,01/01/1977,0.399,Indonesia
1,01/01/1977,16.342292302,Japan
1,01/01/1977,0.224,Malaysia
1,01/01/1977,3.330814595,New Zealand
1,01/01/1977,1.429,Pakistan
1,01/01/1977,0.436,Philippines
1,01/01/1977,0,Singapore
1,01/01/1977,0.315139838,South Korea
1,01/01/1977,0.274675295,Sri Lanka
1,01/01/1977,0.911,Taiwan
1,01/01/1977,0.647,Thailand
1,01/01/1977,0.135765036,Vietnam
1,01/01/1978,49.102,Canada
1,01/01/1978,3.668,Mexico
1,01/01/1978,64.789000564,US
1,01/01/1978,1.734,Argentina
1,01/01/1978,23.248857311,Brazil
1,01/01/1978,1.545,Chile
1,01/01/1978,2.73146581,Colombia
1,01/01/1978,0.245,Ecuador
1,01/01/1978,1.403,Peru
1,01/01/1978,0,Trinidad & Tobago
1,01/01/1978,2.768,Venezuela
1,01/01/1978,5.643481016,Austria
1,01/01/1978,0.050459338,Belgium
1,01/01/1978,0.658,Bulgaria
1,01/01/1978,,Croatia
1,01/01/1978,0,Cyprus
1,01/01/1978,0.413,Czech Republic
1,01/01/1978,0.006109427,Denmark
1,01/01/1978,,Estonia
1,01/01/1978,2.217267027,Finland
1,01/01/1978,15.468125221,France
1,01/01/1978,4.15491569,Germany
1,01/01/1978,0.749,Greece
1,01/01/1978,0.032,Hungary
1,01/01/1978,0.589446531,Iceland
1,01/01/1978,0.157894737,Ireland
1,01/01/1978,10.293478753,Italy
1,01/01/1978,,Latvia
1,01/01/1978,,Lithuania
1,01/01/1978,0.016926506,Luxembourg
1,01/01/1978,0,Netherlands
1,01/01/1978,,North Macedonia
1,01/01/1978,18.3,Norway
1,01/01/1978,0.440817758,Poland
1,01/01/1978,2.446259673,Portugal
1,01/01/1978,2.403,Romania
1,01/01/1978,0.51115536,Slovakia
1,01/01/1978,,Slovenia
1,01/01/1978,9.138061275,Spain
1,01/01/1978,13.074,Sweden
1,01/01/1978,7.141359868,Switzerland
1,01/01/1978,2.11223243,Turkey
1,01/01/1978,0,Ukraine
1,01/01/1978,0.921165769,United Kingdom
1,01/01/1978,,Azerbaijan
1,01/01/1978,,Belarus
1,01/01/1978,,Kazakhstan
1,01/01/1978,,Russian Federation
1,01/01/1978,,Turkmenistan
1,01/01/1978,37.12,USSR
1,01/01/1978,,Uzbekistan
1,01/01/1978,1.405,Iran
1,01/01/1978,0.163,Iraq
1,01/01/1978,0,Israel
1,01/01/1978,0,Kuwait
1,01/01/1978,0,Oman
1,01/01/1978,0,Qatar
1,01/01/1978,0,Saudi Arabia
1,01/01/1978,0,United Arab Emirates
1,01/01/1978,0.058,Algeria
1,01/01/1978,2.247,Egypt
1,01/01/1978,0.320405485,Morocco
1,01/01/1978,0.431,South Africa
1,01/01/1978,4.18989702,Eastern Africa
1,01/01/1978,3.320665565,Australia
1,01/01/1978,0.11449518,Bangladesh
1,01/01/1978,9.781,China
1,01/01/1978,0,China Hong Kong SAR
1,01/01/1978,12.711,India
1,01/01/1978,0.285,Indonesia
1,01/01/1978,15.448134724,Japan
1,01/01/1978,0.241,Malaysia
1,01/01/1978,3.543376015,New Zealand
1,01/01/1978,1.774,Pakistan
1,01/01/1978,0.634,Philippines
1,01/01/1978,0,Singapore
1,01/01/1978,0.408997601,South Korea
1,01/01/1978,0.309159614,Sri Lanka
1,01/01/1978,1.124,Taiwan
1,01/01/1978,0.425,Thailand
1,01/01/1978,0.181020048,Vietnam
1,01/01/1979,48.111,Canada
1,01/01/1979,4.076,Mexico
1,01/01/1979,64.700033781,US
1,01/01/1979,2.384,Argentina
1,01/01/1979,26.37914649,Brazil
1,01/01/1979,1.571,Chile
1,01/01/1979,3.000248903,Colombia
1,01/01/1979,0.221,Ecuador
1,01/01/1979,1.516,Peru
1,01/01/1979,0,Trinidad & Tobago
1,01/01/1979,3.224,Venezuela
1,01/01/1979,6.357605105,Austria
1,01/01/1979,0.052948364,Belgium
1,01/01/1979,0.75,Bulgaria
1,01/01/1979,,Croatia
1,01/01/1979,0,Cyprus
1,01/01/1979,0.518,Czech Republic
1,01/01/1979,0.006561977,Denmark
1,01/01/1979,,Estonia
1,01/01/1979,2.459769894,Finland
1,01/01/1979,15.028994796,France
1,01/01/1979,4.159769788,Germany
1,01/01/1979,0.894,Greece
1,01/01/1979,0.032,Hungary
1,01/01/1979,0.637892022,Iceland
1,01/01/1979,0.186842105,Ireland
1,01/01/1979,10.39666018,Italy
1,01/01/1979,,Latvia
1,01/01/1979,,Lithuania
1,01/01/1979,0.018476716,Luxembourg
1,01/01/1979,0,Netherlands
1,01/01/1979,,North Macedonia
1,01/01/1979,20.137,Norway
1,01/01/1979,0.408184369,Poland
1,01/01/1979,2.537222247,Portugal
1,01/01/1979,2.566,Romania
1,01/01/1979,0.426302213,Slovakia
1,01/01/1979,,Slovenia
1,01/01/1979,10.534528035,Spain
1,01/01/1979,13.855,Sweden
1,01/01/1979,6.716834683,Switzerland
1,01/01/1979,2.328121464,Turkey
1,01/01/1979,0,Ukraine
1,01/01/1979,0.973661583,United Kingdom
1,01/01/1979,,Azerbaijan
1,01/01/1979,,Belarus
1,01/01/1979,,Kazakhstan
1,01/01/1979,,Russian Federation
1,01/01/1979,,Turkmenistan
1,01/01/1979,40.642,USSR
1,01/01/1979,,Uzbekistan
1,01/01/1979,1.218,Iran
1,01/01/1979,0.237,Iraq
1,01/01/1979,0,Israel
1,01/01/1979,0,Kuwait
1,01/01/1979,0,Oman
1,01/01/1979,0,Qatar
1,01/01/1979,0,Saudi Arabia
1,01/01/1979,0,United Arab Emirates
1,01/01/1979,0.066,Algeria
1,01/01/1979,2.174,Egypt
1,01/01/1979,0.357967145,Morocco
1,01/01/1979,0.262,South Africa
1,01/01/1979,4.502263565,Eastern Africa
1,01/01/1979,3.223527085,Australia
1,01/01/1979,0.13282346,Bangladesh
1,01/01/1979,10.987,China
1,01/01/1979,0,China Hong Kong SAR
1,01/01/1979,12.257,India
1,01/01/1979,0.317,Indonesia
1,01/01/1979,17.901017242,Japan
1,01/01/1979,0.295,Malaysia
1,01/01/1979,4.173289212,New Zealand
1,01/01/1979,1.918,Pakistan
1,01/01/1979,0.628,Philippines
1,01/01/1979,0,Singapore
1,01/01/1979,0.519565552,South Korea
1,01/01/1979,0.330768883,Sri Lanka
1,01/01/1979,1.034,Taiwan
1,01/01/1979,0.693,Thailand
1,01/01/1979,0.22627506,Vietnam
1,01/01/1980,50.349,Canada
1,01/01/1980,3.829,Mexico
1,01/01/1980,63.810044601,US
1,01/01/1980,3.388,Argentina
1,01/01/1980,29.168439155,Brazil
1,01/01/1980,1.661,Chile
1,01/01/1980,3.269000317,Colombia
1,01/01/1980,0.262,Ecuador
1,01/01/1980,1.587,Peru
1,01/01/1980,0,Trinidad & Tobago
1,01/01/1980,3.3,Venezuela
1,01/01/1980,6.586844368,Austria
1,01/01/1980,0.062904467,Belgium
1,01/01/1980,0.839,Bulgaria
1,01/01/1980,,Croatia
1,01/01/1980,0,Cyprus
1,01/01/1980,0.542,Czech Republic
1,01/01/1980,0.00771598,Denmark
1,01/01/1980,,Estonia
1,01/01/1980,2.311891143,Finland
1,01/01/1980,15.732169435,France
1,01/01/1980,4.314871476,Germany
1,01/01/1980,0.854,Greece
1,01/01/1980,0.026,Hungary
1,01/01/1980,0.690863013,Iceland
1,01/01/1980,0.189473684,Ireland
1,01/01/1980,10.237588813,Italy
1,01/01/1980,,Latvia
1,01/01/1980,,Lithuania
1,01/01/1980,0.019514414,Luxembourg
1,01/01/1980,0,Netherlands
1,01/01/1980,,North Macedonia
1,01/01/1980,19.003,Norway
1,01/01/1980,0.531669457,Poland
1,01/01/1980,1.813594606,Portugal
1,01/01/1980,2.861,Romania
1,01/01/1980,0.51070281,Slovakia
1,01/01/1980,,Slovenia
1,01/01/1980,6.68657225,Spain
1,01/01/1980,13.408,Sweden
1,01/01/1980,7.568433136,Switzerland
1,01/01/1980,2.567814635,Turkey
1,01/01/1980,0,Ukraine
1,01/01/1980,0.894691587,United Kingdom
1,01/01/1980,,Azerbaijan
1,01/01/1980,,Belarus
1,01/01/1980,,Kazakhstan
1,01/01/1980,,Russian Federation
1,01/01/1980,,Turkmenistan
1,01/01/1980,41.545,USSR
1,01/01/1980,,Uzbekistan
1,01/01/1980,1.263,Iran
1,01/01/1980,0.158,Iraq
1,01/01/1980,0,Israel
1,01/01/1980,0,Kuwait
1,01/01/1980,0,Oman
1,01/01/1980,0,Qatar
1,01/01/1980,0,Saudi Arabia
1,01/01/1980,0,United Arab Emirates
1,01/01/1980,0.058,Algeria
1,01/01/1980,2.218,Egypt
1,01/01/1980,0.342806716,Morocco
1,01/01/1980,0.227,South Africa
1,01/01/1980,4.130568257,Eastern Africa
1,01/01/1980,3.047155225,Australia
1,01/01/1980,0.13191836,Bangladesh
1,01/01/1980,13.174,China
1,01/01/1980,0,China Hong Kong SAR
1,01/01/1980,12.545,India
1,01/01/1980,0.287,Indonesia
1,01/01/1980,19.540154772,Japan
1,01/01/1980,0.376,Malaysia
1,01/01/1980,4.38173654,New Zealand
1,01/01/1980,2.011,Pakistan
1,01/01/1980,0.778,Philippines
1,01/01/1980,0,Singapore
1,01/01/1980,0.434532968,South Korea
1,01/01/1980,0.334909716,Sri Lanka
1,01/01/1980,0.663,Taiwan
1,01/01/1980,0.304,Thailand
1,01/01/1980,0.336697289,Vietnam
1,01/01/1981,50.925,Canada
1,01/01/1981,5.571,Mexico
1,01/01/1981,60.30451229,US
1,01/01/1981,3.281,Argentina
1,01/01/1981,29.588858216,Brazil
1,01/01/1981,1.718,Chile
1,01/01/1981,3.227890664,Colombia
1,01/01/1981,0.239,Ecuador
1,01/01/1981,1.811,Peru
1,01/01/1981,0,Trinidad & Tobago
1,01/01/1981,3.416,Venezuela
1,01/01/1981,6.979974657,Austria
1,01/01/1981,0.086210798,Belgium
1,01/01/1981,0.818,Bulgaria
1,01/01/1981,,Croatia
1,01/01/1981,0,Cyprus
1,01/01/1981,0.466,Czech Republic
1,01/01/1981,0.008032765,Denmark
1,01/01/1981,,Estonia
1,01/01/1981,3.089683091,Finland
1,01/01/1981,16.335965425,France
1,01/01/1981,4.506193918,Germany
1,01/01/1981,0.757,Greece
1,01/01/1981,0.037,Hungary
1,01/01/1981,0.697945422,Iceland
1,01/01/1981,0.194736842,Ireland
1,01/01/1981,9.73752093,Italy
1,01/01/1981,,Latvia
1,01/01/1981,,Lithuania
1,01/01/1981,0.020863013,Luxembourg
1,01/01/1981,0,Netherlands
1,01/01/1981,,North Macedonia
1,01/01/1981,21.108,Norway
1,01/01/1981,0.48313572,Poland
1,01/01/1981,1.135674526,Portugal
1,01/01/1981,2.882,Romania
1,01/01/1981,0.444856768,Slovakia
1,01/01/1981,,Slovenia
1,01/01/1981,4.965324026,Spain
1,01/01/1981,13.626,Sweden
1,01/01/1981,7.947929266,Switzerland
1,01/01/1981,2.854708784,Turkey
1,01/01/1981,0,Ukraine
1,01/01/1981,0.99990949,United Kingdom
1,01/01/1981,,Azerbaijan
1,01/01/1981,,Belarus
1,01/01/1981,,Kazakhstan
1,01/01/1981,,Russian Federation
1,01/01/1981,,Turkmenistan
1,01/01/1981,42.223,USSR
1,01/01/1981,,Uzbekistan
1,01/01/1981,1.379,Iran
1,01/01/1981,0.132,Iraq
1,01/01/1981,0.00045255,Israel
1,01/01/1981,0,Kuwait
1,01/01/1981,0,Oman
1,01/01/1981,0,Qatar
1,01/01/1981,0,Saudi Arabia
1,01/01/1981,0,United Arab Emirates
1,01/01/1981,0.082,Algeria
1,01/01/1981,2.311,Egypt
1,01/01/1981,0.231705661,Morocco
1,01/01/1981,0.374032674,South Africa
1,01/01/1981,4.306250138,Eastern Africa
1,01/01/1981,3.137607775,Australia
1,01/01/1981,0.141421912,Bangladesh
1,01/01/1981,14.824,China
1,01/01/1981,0,China Hong Kong SAR
1,01/01/1981,13.369,India
1,01/01/1981,0.286,Indonesia
1,01/01/1981,19.652189347,Japan
1,01/01/1981,0.416,Malaysia
1,01/01/1981,4.453047468,New Zealand
1,01/01/1981,2.1,Pakistan
1,01/01/1981,0.835,Philippines
1,01/01/1981,0,Singapore
1,01/01/1981,0.587796307,South Korea
1,01/01/1981,0.355613884,Sri Lanka
1,01/01/1981,1.084,Taiwan
1,01/01/1981,0.632,Thailand
1,01/01/1981,0.340996515,Vietnam
1,01/01/1982,58.358,Canada
1,01/01/1982,5.182,Mexico
1,01/01/1982,71.396412649,US
1,01/01/1982,3.959,Argentina
1,01/01/1982,31.934651763,Brazil
1,01/01/1982,1.913,Chile
1,01/01/1982,3.448100647,Colombia
1,01/01/1982,0.268,Ecuador
1,01/01/1982,1.9,Peru
1,01/01/1982,0,Trinidad & Tobago
1,01/01/1982,3.579,Venezuela
1,01/01/1982,6.991062135,Austria
1,01/01/1982,0.075349595,Belgium
1,01/01/1982,0.689,Bulgaria
1,01/01/1982,,Croatia
1,01/01/1982,0,Cyprus
1,01/01/1982,0.379,Czech Republic
1,01/01/1982,0.006856134,Denmark
1,01/01/1982,,Estonia
1,01/01/1982,2.961689118,Finland
1,01/01/1982,15.969330181,France
1,01/01/1982,4.46621555,Germany
1,01/01/1982,0.793,Greece
1,01/01/1982,0.037,Hungary
1,01/01/1982,0.770941757,Iceland
1,01/01/1982,0.181578947,Ireland
1,01/01/1982,9.381590261,Italy
1,01/01/1982,,Latvia
1,01/01/1982,,Lithuania
1,01/01/1982,0.018525139,Luxembourg
1,01/01/1982,0,Netherlands
1,01/01/1982,,North Macedonia
1,01/01/1982,21.021,Norway
1,01/01/1982,0.348943295,Poland
1,01/01/1982,1.56604969,Portugal
1,01/01/1982,2.682,Romania
1,01/01/1982,0.390550753,Slovakia
1,01/01/1982,,Slovenia
1,01/01/1982,5.959469611,Spain
1,01/01/1982,12.584,Sweden
1,01/01/1982,8.139433136,Switzerland
1,01/01/1982,3.205570892,Turkey
1,01/01/1982,0,Ukraine
1,01/01/1982,1.026383672,United Kingdom
1,01/01/1982,,Azerbaijan
1,01/01/1982,,Belarus
1,01/01/1982,,Kazakhstan
1,01/01/1982,,Russian Federation
1,01/01/1982,,Turkmenistan
1,01/01/1982,39.513,USSR
1,01/01/1982,,Uzbekistan
1,01/01/1982,1.447,Iran
1,01/01/1982,0.132,Iraq
1,01/01/1982,0.00045255,Israel
1,01/01/1982,0,Kuwait
1,01/01/1982,0,Oman
1,01/01/1982,0,Qatar
1,01/01/1982,0,Saudi Arabia
1,01/01/1982,0,United Arab Emirates
1,01/01/1982,0.108,Algeria
1,01/01/1982,2.374,Egypt
1,01/01/1982,0.129429334,Morocco
1,01/01/1982,0.229895461,South Africa
1,01/01/1982,4.450315729,Eastern Africa
1,01/01/1982,2.889608092,Australia
1,01/01/1982,0.118341856,Bangladesh
1,01/01/1982,16.838,China
1,01/01/1982,0,China Hong Kong SAR
1,01/01/1982,11.282,India
1,01/01/1982,0.312,Indonesia
1,01/01/1982,17.810472779,Japan
1,01/01/1982,0.4,Malaysia
1,01/01/1982,4.14174784,New Zealand
1,01/01/1982,2.363,Pakistan
1,01/01/1982,0.864,Philippines
1,01/01/1982,0,Singapore
1,01/01/1982,0.388143639,South Korea
1,01/01/1982,0.363759786,Sri Lanka
1,01/01/1982,1.123963434,Taiwan
1,01/01/1982,0.801,Thailand
1,01/01/1982,0.352989094,Vietnam
1,01/01/1983,60.205,Canada
1,01/01/1983,4.695,Mexico
1,01/01/1983,76.634301333,US
1,01/01/1983,4.12,Argentina
1,01/01/1983,34.275014708,Brazil
1,01/01/1983,2.021,Chile
1,01/01/1983,3.476891886,Colombia
1,01/01/1983,0.519,Ecuador
1,01/01/1983,1.837,Peru
1,01/01/1983,0,Trinidad & Tobago
1,01/01/1983,4.087,Venezuela
1,01/01/1983,6.925442368,Austria
1,01/01/1983,0.07602842,Belgium
1,01/01/1983,0.758,Bulgaria
1,01/01/1983,,Croatia
1,01/01/1983,0,Cyprus
1,01/01/1983,0.374,Czech Republic
1,01/01/1983,0.007580215,Denmark
1,01/01/1983,,Estonia
1,01/01/1983,3.072998163,Finland
1,01/01/1983,15.713222338,France
1,01/01/1983,4.234062859,Germany
1,01/01/1983,0.529,Greece
1,01/01/1983,0.034,Hungary
1,01/01/1983,0.811852288,Iceland
1,01/01/1983,0.176315789,Ireland
1,01/01/1983,9.37796986,Italy
1,01/01/1983,,Latvia
1,01/01/1983,,Lithuania
1,01/01/1983,0.018267864,Luxembourg
1,01/01/1983,0,Netherlands
1,01/01/1983,,North Macedonia
1,01/01/1983,24,Norway
1,01/01/1983,0.38018283,Poland
1,01/01/1983,1.816083631,Portugal
1,01/01/1983,2.271,Romania
1,01/01/1983,0.41453591,Slovakia
1,01/01/1983,,Slovenia
1,01/01/1983,6.120631941,Spain
1,01/01/1983,14.5,Sweden
1,01/01/1983,7.933848894,Switzerland
1,01/01/1983,2.566570123,Turkey
1,01/01/1983,0,Ukraine
1,01/01/1983,1.026383672,United Kingdom
1,01/01/1983,,Azerbaijan
1,01/01/1983,,Belarus
1,01/01/1983,,Kazakhstan
1,01/01/1983,,Russian Federation
1,01/01/1983,,Turkmenistan
1,01/01/1983,40.642,USSR
1,01/01/1983,,Uzbekistan
1,01/01/1983,1.416,Iran
1,01/01/1983,0.132,Iraq
1,01/01/1983,0.000226275,Israel
1,01/01/1983,0,Kuwait
1,01/01/1983,0,Oman
1,01/01/1983,0,Qatar
1,01/01/1983,0,Saudi Arabia
1,01/01/1983,0,United Arab Emirates
1,01/01/1983,0.053,Algeria
1,01/01/1983,2.221,Egypt
1,01/01/1983,0.108838304,Morocco
1,01/01/1983,0.134633661,South Africa
1,01/01/1983,4.39989896,Eastern Africa
1,01/01/1983,2.743279178,Australia
1,01/01/1983,0.14979409,Bangladesh
1,01/01/1983,19.554,China
1,01/01/1983,0,China Hong Kong SAR
1,01/01/1983,10.871,India
1,01/01/1983,0.469,Indonesia
1,01/01/1983,19.654804227,Japan
1,01/01/1983,0.466,Malaysia
1,01/01/1983,4.469275275,New Zealand
1,01/01/1983,2.737,Pakistan
1,01/01/1983,0.67,Philippines
1,01/01/1983,0,Singapore
1,01/01/1983,0.519118206,South Korea
1,01/01/1983,0.275422003,Sri Lanka
1,01/01/1983,1.12860343,Taiwan
1,01/01/1983,0.761,Thailand
1,01/01/1983,0.276734398,Vietnam
1,01/01/1984,64.771,Canada
1,01/01/1984,5.342,Mexico
1,01/01/1984,74.12482178,US
1,01/01/1984,4.446,Argentina
1,01/01/1984,37.695841064,Brazil
1,01/01/1984,2.113,Chile
1,01/01/1984,3.878404308,Colombia
1,01/01/1984,0.953,Ecuador
1,01/01/1984,1.939,Peru
1,01/01/1984,0,Trinidad & Tobago
1,01/01/1984,4.582,Venezuela
1,01/01/1984,6.075386704,Austria
1,01/01/1984,0.079422546,Belgium
1,01/01/1984,0.737,Bulgaria
1,01/01/1984,,Croatia
1,01/01/1984,0,Cyprus
1,01/01/1984,0.295,Czech Republic
1,01/01/1984,0.006833507,Denmark
1,01/01/1984,,Estonia
1,01/01/1984,2.997573143,Finland
1,01/01/1984,14.864033489,France
1,01/01/1984,4.181376295,Germany
1,01/01/1984,0.647,Greece
1,01/01/1984,0.042,Hungary
1,01/01/1984,0.845793547,Iceland
1,01/01/1984,0.155263158,Ireland
1,01/01/1984,9.594288817,Italy
1,01/01/1984,,Latvia
1,01/01/1984,,Lithuania
1,01/01/1984,0.019438838,Luxembourg
1,01/01/1984,0,Netherlands
1,01/01/1984,,North Macedonia
1,01/01/1984,24.066,Norway
1,01/01/1984,0.31801602,Poland
1,01/01/1984,2.209575961,Portugal
1,01/01/1984,2.563,Romania
1,01/01/1984,0.351857718,Slovakia
1,01/01/1984,,Slovenia
1,01/01/1984,7.124931484,Spain
1,01/01/1984,15.497,Sweden
1,01/01/1984,6.764235914,Switzerland
1,01/01/1984,3.038036838,Turkey
1,01/01/1984,0,Ukraine
1,01/01/1984,1.026383672,United Kingdom
1,01/01/1984,,Azerbaijan
1,01/01/1984,,Belarus
1,01/01/1984,,Kazakhstan
1,01/01/1984,,Russian Federation
1,01/01/1984,,Turkmenistan
1,01/01/1984,45.835,USSR
1,01/01/1984,,Uzbekistan
1,01/01/1984,1.324,Iran
1,01/01/1984,0.132,Iraq
1,01/01/1984,0.00045255,Israel
