Number of Records,Year_Hydro,Value_Hydro,Countries
1,01/01/1966,0.16,Malaysia
1,01/01/1966,2.445,New Zealand
1,01/01/1966,0.497,Pakistan
1,01/01/1966,0.18,Philippines
1,01/01/1966,0,Singapore
1,01/01/1966,0.222953795,South Korea
1,01/01/1966,0.090283749,Sri Lanka
1,01/01/1966,0.863,Taiwan
1,01/01/1966,0.288,Thailand
1,01/01/1966,0.088247273,Vietnam
1,01/01/1967,30.123,Canada
1,01/01/1967,2.505,Mexico
1,01/01/1967,51.414403116,US
1,01/01/1967,0.284,Argentina
1,01/01/1967,6.207,Brazil
1,01/01/1967,0.963,Chile
1,01/01/1967,0.993178653,Colombia
1,01/01/1967,0.099,Ecuador
1,01/01/1967,0.716,Peru
1,01/01/1967,0,Trinidad & Tobago
1,01/01/1967,0.376,Venezuela
1,01/01/1967,4.004616011,Austria
1,01/01/1967,0.053853464,Belgium
1,01/01/1967,0.458,Bulgaria
1,01/01/1967,,Croatia
1,01/01/1967,0,Cyprus
1,01/01/1967,0.429,Czech Republic
1,01/01/1967,0.005,Denmark
1,01/01/1967,,Estonia
1,01/01/1967,2.631418955,Finland
1,01/01/1967,10.267832149,France
1,01/01/1967,3.768002851,Germany
1,01/01/1967,0.411,Greece
1,01/01/1967,0.018,Hungary
1,01/01/1967,0.150359777,Iceland
1,01/01/1967,0.181578947,Ireland
1,01/01/1967,9.580486039,Italy
1,01/01/1967,,Latvia
1,01/01/1967,,Lithuania
1,01/01/1967,0.01985722,Luxembourg
1,01/01/1967,0,Netherlands
1,01/01/1967,,North Macedonia
1,01/01/1967,12.066,Norway
1,01/01/1967,0.215764583,Poland
1,01/01/1967,1.240213604,Portugal
1,01/01/1967,0.334,Romania
1,01/01/1967,0.413,Slovakia
1,01/01/1967,,Slovenia
1,01/01/1967,5.217795674,Spain
1,01/01/1967,11.158,Sweden
1,01/01/1967,6.754358601,Switzerland
1,01/01/1967,0.538941938,Turkey
1,01/01/1967,0,Ukraine
1,01/01/1967,1.105353668,United Kingdom
1,01/01/1967,,Azerbaijan
1,01/01/1967,,Belarus
1,01/01/1967,,Kazakhstan
1,01/01/1967,,Russian Federation
1,01/01/1967,,Turkmenistan
